Date,Transaction_Time,Type,Ticker,Name,Description,Shares,Price_Per_Share_EUR,Amount_EUR,Cash_Balance_EUR
2025-02-26,03:10:00,WITHDRAWAL,CASH,Cash,Degiro Cash Sweep Transfer,,,-1255.76,125.1
2025-02-26,03:40:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,1144.88,125.1
2025-03-03,13:54:00,WITHDRAWAL,CASH,Cash,DEGIRO Aansluitingskosten 2025 (Nasdaq - NDQ),,,-2.5,120.1
2025-03-03,13:54:00,WITHDRAWAL,CASH,Cash,DEGIRO Aansluitingskosten 2025 (Tradegate AG - TDG),,,-2.5,122.6
2025-03-03,20:12:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,5.0,120.1
2025-03-04,15:32:00,BUY,82W.BE,HIMS & HERS HEALTH INC,"Koop 3 @ 36,4 EUR",3.0,36.4,109.2,10.9
2025-03-04,15:52:00,DEPOSIT,CASH,Cash,flatex Deposit,,,1000.0,1006.62
2025-03-05,10:22:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,113.48,1120.1
2025-03-05,14:02:00,BUY,82W.BE,HIMS & HERS HEALTH INC,"Koop 27 @ 36,5 EUR",27.0,36.5,985.5,21.12
2025-03-05,19:21:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,992.85,1006.62
2025-04-15,15:52:00,DEPOSIT,CASH,Cash,flatex Deposit,,,900.0,913.77
2025-04-15,16:09:00,BUY,AMD,ADVANCED MICRO DEVICES INC,"Koop 10 @ 85,45 EUR",10.0,75.3549,753.55,59.27
2025-04-16,01:22:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,862.39,913.77
2025-05-07,08:44:00,DEPOSIT,CASH,Cash,flatex Deposit,,,1000.0,1051.38
2025-05-09,13:25:00,BUY,82W.BE,HIMS & HERS HEALTH INC,"Koop 10 @ 45,3 EUR",10.0,45.3,453.0,598.38
2025-05-09,14:20:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,458.49,1051.38
2025-05-13,11:53:00,SELL,AMD,ADVANCED MICRO DEVICES INC,"Verkoop 5 @ 97,15 EUR",-5.0,87.5574,437.79,1078.64
2025-05-13,12:21:00,WITHDRAWAL,CASH,Cash,Degiro Cash Sweep Transfer,,,-963.2,592.89
2025-05-13,15:39:00,SELL,82W.BE,HIMS & HERS HEALTH INC,"Verkoop 20 @ 53,5 EUR",-20.0,53.5,1070.0,2626.09
2025-05-13,16:37:00,BUY,AMD,ADVANCED MICRO DEVICES INC,"Koop 15 @ 98,91 EUR",15.0,89.1436,1337.15,1134.79
2025-05-13,16:42:00,WITHDRAWAL,CASH,Cash,Degiro Cash Sweep Transfer,,,-1062.35,63.35
2025-05-13,17:20:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,1492.74,2618.44
2025-05-14,07:34:00,SELL,82W.BE,HIMS & HERS HEALTH INC,"Verkoop 20 @ 58,8 EUR",-20.0,58.8,1176.0,2301.7
2025-05-14,08:33:00,WITHDRAWAL,CASH,Cash,Degiro Cash Sweep Transfer,,,-1167.98,1125.7
2025-05-15,15:51:00,BUY,UNH,UNITEDHEALTH GROUP,"Koop 2 @ 258,87 USD",2.0,231.5074,463.47,-517.74
2025-05-15,16:21:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,467.09,2293.68
2025-05-15,16:38:00,SELL,82W.BE,HIMS & HERS HEALTH INC,"Verkoop 50 @ 48,43 EUR",-50.0,48.43,2421.5,4248.09
2025-05-15,17:33:00,WITHDRAWAL,CASH,Cash,Degiro Cash Sweep Transfer,,,-2409.12,1826.59
2025-05-15,17:50:00,BUY,82W.BE,HIMS & HERS HEALTH INC,"Koop 70 @ 51,14 EUR",70.0,51.14,3579.8,655.91
2025-05-15,18:20:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,3596.23,4235.71
2025-05-19,18:33:00,SELL,UNH,UNITEDHEALTH GROUP,Verkoop 2 @ 314 USD,-2.0,280.6689,628.0,628.0
2025-05-19,19:20:00,WITHDRAWAL,CASH,Cash,Degiro Cash Sweep Transfer,,,-553.56,639.48
2025-05-28,10:55:00,BUY,82W.BE,HIMS & HERS HEALTH INC,"Koop 5 @ 47,25 EUR",5.0,47.25,236.25,956.79
2025-05-28,11:21:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,240.98,952.06
2025-05-28,15:30:00,BUY,ASTS,AST SPACEMOBILE INC,Koop 20 @ 25 USD,20.0,22.0515,443.63,-500.0
2025-05-28,16:30:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,447.18,504.88
2025-06-02,13:16:00,WITHDRAWAL,CASH,Cash,DEGIRO Aansluitingskosten 2025 (New York Stock Exchange - NSY),,,-2.5,502.38
2025-06-02,14:44:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,2.5,502.38
2025-06-26,09:42:00,BUY,82W.BE,HIMS & HERS HEALTH INC,"Koop 5 @ 36,29 EUR",5.0,36.29,181.45,320.93
2025-06-26,10:31:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,185.99,502.38
2025-06-30,16:10:00,SELL,ASTS,AST SPACEMOBILE INC,"Verkoop 20 @ 47,06 USD",-20.0,40.1281,941.2,941.2
2025-06-30,17:32:00,WITHDRAWAL,CASH,Cash,Degiro Cash Sweep Transfer,,,-795.91,316.39
2025-07-17,15:30:00,BUY,LMND,LEMONADE INC,"Koop 3 @ 40,15 USD",3.0,34.5057,104.2,-120.45
2025-07-17,16:31:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,106.56,1112.3
2025-07-17,17:19:00,BUY,ZETA,ZETA GLOBAL HOLDINGS CORP,"Koop 50 @ 13,9 EUR",50.0,11.9459,597.3,310.74
2025-07-17,18:20:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,701.33,1005.74
2025-07-18,08:41:00,DEPOSIT,CASH,Cash,flatex Deposit,,,1000.0,1304.41
2025-07-18,15:30:00,SELL,LMND,LEMONADE INC,"Verkoop 3 @ 41,14 USD",-3.0,35.4182,123.42,123.42
2025-07-18,16:33:00,WITHDRAWAL,CASH,Cash,Degiro Cash Sweep Transfer,,,-103.19,1304.41
2025-08-07,08:37:00,BUY,82W.BE,HIMS & HERS HEALTH INC,"Koop 10 @ 44,47 EUR",10.0,44.47,444.7,962.9
2025-08-07,08:39:00,BUY,AMD,ADVANCED MICRO DEVICES INC,"Koop 5 @ 141,8 EUR",5.0,121.5793,607.9,248.44
2025-08-07,11:02:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,1165.54,1407.6
2025-08-12,09:06:00,SELL,82W.BE,HIMS & HERS HEALTH INC,"Verkoop 60 @ 42,53 EUR",-60.0,42.53,2551.8,2793.86
2025-08-12,10:33:00,WITHDRAWAL,CASH,Cash,Degiro Cash Sweep Transfer,,,-2538.97,242.06
2025-08-13,15:56:00,BUY,HROW,HARROW HEALTH INC,"Koop 25 @ 36,09 USD",25.0,30.9068,772.82,-902.25
2025-08-13,16:40:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,777.52,2781.03
2025-08-13,17:09:00,BUY,82W.BE,HIMS & HERS HEALTH INC,"Koop 20 @ 40,21 EUR",20.0,40.21,804.2,1199.31
2025-08-13,18:30:00,CASH_TRANSFER,CASH,Cash,Degiro Cash Sweep Transfer,,,810.91,2003.51
